,_mask_rate,_mask_scale,_mask_strategy,_src_merge,cola,mnli,model,mrpc,qnli,qqp,rte,scaling,sst2,stsb
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,69.53,task_arithmetic_decompose,78.46,78.72,72.18,46.57,0.35,85.78,9.59
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,65.03,task_arithmetic_decompose,78.94,78.32000000000001,75.25,52.35,0.35,85.67,29.22
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,65.03,task_arithmetic_decompose,78.73,78.22,75.31,52.71,0.35,85.67,29.23
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,0.0,61.84,task_arithmetic_decompose,78.49000000000001,78.12,76.66,51.62,0.45,87.03999999999999,22.52
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.040000000000006,task_arithmetic_decompose,76.01,68.63,55.73,47.29,0.25,74.31,-7.27
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.040000000000006,task_arithmetic_decompose,76.01,68.63,55.73,47.29,0.25,74.31,-7.27
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.34,task_arithmetic_decompose,76.01,68.53,55.73,47.29,0.25,74.2,-7.779999999999999
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.040000000000006,task_arithmetic_decompose,76.01,68.63,55.73,47.29,0.25,74.31,-7.27
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.34,task_arithmetic_decompose,76.01,68.53,55.73,47.29,0.25,74.2,-7.779999999999999
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.440000000000005,task_arithmetic_decompose,76.01,68.83,55.97,47.29,0.25,74.2,-8.32
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,60.24,task_arithmetic_decompose,76.53999999999999,69.43,56.54,47.29,0.25,74.77000000000001,-12.78
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,62.13999999999999,task_arithmetic_decompose,76.69,70.63000000000001,57.720000000000006,47.29,0.25,75.69,-15.939999999999998
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,66.33,task_arithmetic_decompose,78.09,75.42,61.91,44.4,0.25,79.13,-13.82
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,67.03,task_arithmetic_decompose,78.11,77.72,63.83,46.57,0.25,80.73,-1.68
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,78.06,78.82000000000001,69.25,50.18,0.25,81.42,21.6
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.13,task_arithmetic_decompose,77.86999999999999,78.82000000000001,70.00999999999999,52.35,0.25,81.31,23.16
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.03,task_arithmetic_decompose,78.08,78.62,70.00999999999999,52.71,0.25,81.42,23.22
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,65.93,task_arithmetic_decompose,78.08,78.72,70.00999999999999,53.06999999999999,0.25,81.31,23.35
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,77.86999999999999,78.72,69.82000000000001,53.06999999999999,0.25,81.65,23.1
